artist_name,artist_id,ethnicity,gender,genre
Ill Truth,illtruth,NA,NA,NA
Combine,combine,NA,NA,NA
Mehlor,mehlor,NA,NA,NA
Haïch,haich-uk,NA,NA,NA
Ben Klock,benklock,NA,NA,NA
Paula Temple,paulatemple,NA,NA,NA
Tommy Four Seven,tommyfourseven,NA,NA,NA
Kölsch,kolsch,NA,NA,NA
Agoria,agoria,NA,NA,NA
Manoo,manoo,NA,NA,NA
Dave Anthony,daveanthony,NA,NA,NA
DJEFF,djeff,NA,NA,NA
Midland,midland,NA,NA,NA
Oli Silva,olisilva,NA,NA,NA
KiNK,kink,NA,NA,NA
Slam,slam,NA,NA,NA
Laurent Garnier,laurentgarnier,NA,NA,NA
James Lavelle,jameslavelle,NA,NA,NA
Krust,krust,NA,NA,NA
UNKLE,unkle,NA,NA,NA
Will Bankhead,willbankhead,NA,NA,NA
Timoti,timoti,NA,NA,NA
Nathan Coles,nathancoles,NA,NA,NA
Eddie Richards,eddierichards,NA,NA,NA
Layo & Bushwacka!,layoandbushwacka,NA,NA,NA
Ollie Drummond,olliedrummond,NA,NA,NA
Original Sin,originalsin,NA,NA,NA
Mob Tactics,mobtactics,NA,NA,NA
Taxman,taxman,NA,NA,NA
North Base,northbase,NA,NA,NA
Pete Tong,petetong,NA,NA,NA
Themba,themba,NA,NA,NA
Illyus & Barrientos,illyusbarrientos,NA,NA,NA
DJelley,djelley-uk,NA,NA,NA
Arno aka Einzelkind,einzelkind,NA,NA,NA
Junki Inoue,junkiinoue,NA,NA,NA
Futurebound,futurebound,NA,NA,NA
Rhymestar,rhymestar,NA,NA,NA
Miss Trouble,misstrouble,NA,NA,NA
Fatman D,fatmand,NA,NA,NA
Lee Rands,leerands,NA,NA,NA
Louis Jay,louisjay,NA,NA,NA
Guy Gerber,guygerber,NA,NA,NA
Bill Patrick,billpatrick,NA,NA,NA
Thoma Bulwer,thomabulwer,NA,NA,NA
Franky Rizardo,frankyrizardo,NA,NA,NA
Black Loops,blackloops,NA,NA,NA
Rossi,rossi,NA,NA,NA
Four Tet,fourtet,NA,NA,NA
Willow,willow,NA,NA,NA
Barac,barac,NA,NA,NA
Blawan,blawan,NA,NA,NA
Pariah,pariah,NA,NA,NA
Appleblim,appleblim,NA,NA,NA
Bruce,bruce,NA,NA,NA
Danielle,danielle,NA,NA,NA
Special Request,specialrequest,NA,NA,NA
Source Direct,sourcedirect,NA,NA,NA
Adam F,adamf,NA,NA,NA
SHERELLE,sherelle,NA,NA,NA
Addison Groove,addisongroove,NA,NA,NA
Jossy Mitsu,jossymitsu,NA,NA,NA
FAUZIA,fauzia,NA,NA,NA
Impey,impey,NA,NA,NA
Oneman,oneman,NA,NA,NA
L U C Y,lucy-uk,NA,NA,NA
SGT Pokes,sgtpokes,NA,NA,NA
El-B,el-b,NA,NA,NA
Horsepower Productions,horsepowerproductions,NA,NA,NA
Manga Saint Hilare,mangasainthilare,NA,NA,NA
Sicaria Sound,sicariasound,NA,NA,NA
Friction,friction,NA,NA,NA
Distinkt,distinkt,NA,NA,NA
Bushbaby,bushbaby,NA,NA,NA
Dillinja,dillinja,NA,NA,NA
DJ Storm,djstorm,NA,NA,NA
Kyrist,kyrist,NA,NA,NA
Fixate,fixate,NA,NA,NA
Barely Legal,barelylegal,NA,NA,NA
Daddy Nature,daddynature,NA,NA,NA
DJ Ardi,djardi,NA,NA,NA
Real Roots,realroots-2,NA,NA,NA
Maya Jane Coles,mayajanecoles,NA,NA,NA
Kim Ann Foxman,kimannfoxman,NA,NA,NA
Hannah Holland,hannahholland,NA,NA,NA
Maze & Masters,mazemasters,NA,NA,NA
Lottie,lottie,NA,NA,NA
Marbles,marbles,NA,NA,NA
Xoey 5.0,xoey50,NA,NA,NA
Ray Keith,raykeith,NA,NA,NA
Benny L,bennyl,NA,NA,NA
Nvrsoft,nvrsoft,NA,NA,NA
Jack Dee,jackdee,NA,NA,NA
DJ Majesty,djmajesty,NA,NA,NA
Rob Burden,robburden,NA,NA,NA
Jai Baisden,jaibaisden,NA,NA,NA
Paulo Moreno,paulomoreno,NA,NA,NA
Iwizz,iwizz,NA,NA,NA
Art e Fect,artefect,NA,NA,NA
Braindead,braindead,NA,NA,NA
illi,illi,NA,NA,NA
Separated Brothers,separatedbrothers,NA,NA,NA
Erol Alkan,erolalkan,NA,NA,NA
Baba Stiltz,babastiltz,NA,NA,NA
Eclair Fifi,eclairfifi,NA,NA,NA
Grainger,grainger,NA,NA,NA
Spacetravel,spacetravel,NA,NA,NA
Raphael Carrau,raphael-uk,NA,NA,NA
Manfred Spagnoli,manfredspagnoli,NA,NA,NA
Christian Löffler,christianloffler,NA,NA,NA
Janus Rasmussen,janusrasmussen,NA,NA,NA
Kiasmos,kiasmos,NA,NA,NA
Ruede Hagelstein,ruedehagelstein,NA,NA,NA
Aparde,aparde,NA,NA,NA
D'Julz,djulz,NA,NA,NA
Elvin Zedo,elvinzedo,NA,NA,NA
Steve Lawler,stevelawler,NA,NA,NA
Orbital,orbital,NA,NA,NA
Roman Flugel,romanflugel,NA,NA,NA
Wax On Mare St.,waxonmarest,NA,NA,NA
Karizma,karizma,NA,NA,NA
Laurence Guy,laurenceguy,NA,NA,NA
Harrison BDP,harrisonbdp,NA,NA,NA
Adryiano,adryiano,NA,NA,NA
Michael James,michaeljames,NA,NA,NA
Diego Krause,diegokrause,NA,NA,NA
Sakro,sakro,NA,NA,NA
Maik Yells,maikyells,NA,NA,NA
SY (DE),sy-de,NA,NA,NA
Steffi,steffi,NA,NA,NA
General Ludd,generalludd,NA,NA,NA
JAY,jay-uk,NA,NA,NA
Sybil,sybil,NA,NA,NA
DJ Randall,djrandall,NA,NA,NA
Chimpo,chimpo,NA,NA,NA
Madcap,madcap,NA,NA,NA
Neverdogs,neverdogs,NA,NA,NA
Tessellate,tessellate,NA,NA,NA
Project Pablo,projectpablo,NA,NA,NA
Hammer,hammer,NA,NA,NA
DJ Haus,djhaus,NA,NA,NA
Eliza Rose,elizarose,NA,NA,NA
Larry Cadge,larrycadge,NA,NA,NA
Ray Okpara,rayokpara,NA,NA,NA
Alan Fitzpatrick,alanfitzpatrick,NA,NA,NA
Ronnie Spiteri,ronniespiteri,NA,NA,NA
Alisha,alisha,NA,NA,NA
Del-30,del-30,NA,NA,NA
Friend Within,friendwithin,NA,NA,NA
Meduza,meduza,NA,NA,NA
Floating Points,floatingpoints,NA,NA,NA
Route 94,route94,NA,NA,NA
Ben Sterling,bensterling,NA,NA,NA
Dana Ruh,danaruh,NA,NA,NA
Igor Vicente,igorvicente,NA,NA,NA
Nastia,nastia,NA,NA,NA
Daria Kolosova,dariakolosova,NA,NA,NA
Kosheen,kosheen,NA,NA,NA
Scratch Perverts,scratchperverts,NA,NA,NA
FreQ Nasty,freqnasty,NA,NA,NA
Evil Nine,evilnine,NA,NA,NA
Meat Katie,meatkatie,NA,NA,NA
Djebali,djebali,NA,NA,NA
Julenn,julenn,NA,NA,NA
Swoop,swoop,NA,NA,NA
Gui Boratto,guiboratto,NA,NA,NA
Andhim,andhim,NA,NA,NA
Jonas Rathsman,jonasrathsman,NA,NA,NA
Konstantin Sibold,konstantinsibold,NA,NA,NA
Ignacio Morales,ignaciomorales,NA,NA,NA
Paco Osuna,pacoosuna,NA,NA,NA
Spektre,spektre,NA,NA,NA
Nymfo,nymfo,NA,NA,NA
DLR,dlr,NA,NA,NA
Ulterior Motive,ulteriormotive,NA,NA,NA
Kid Drama,kiddrama,NA,NA,NA
Hybris,hybris,NA,NA,NA
Gusto,gusto,NA,NA,NA
Paragon,paragon,NA,NA,NA
Adam Beyer,adambeyer,NA,NA,NA
Dax J,daxj,NA,NA,NA
Hunee,hunee,NA,NA,NA
Daphni,daphni,NA,NA,NA
Job Jobse,jobjobse,NA,NA,NA
Batu,batu-uk,NA,NA,NA
re:ni,reni,NA,NA,NA
Nacho Bolognani,nachobolognani,NA,NA,NA
Alejo Galvez,alejogalvez,NA,NA,NA
Kolo & Dyze,kolodyze,NA,NA,NA
Tarek Charbonnier,tarekcharbonnier,NA,NA,NA
Sofiane,sofiane,NA,NA,NA
Ludo M,ludom,NA,NA,NA
François K,francoisk,NA,NA,NA
Boo Williams,boowilliams,NA,NA,NA
Glenn Underground,glennunderground,NA,NA,NA
Jonathan Kaspar,jonathankaspar,NA,NA,NA
Rodriguez Jr.,rodriguezjr,NA,NA,NA
John Monkman,johnmonkman,NA,NA,NA
Mikee B,mikeeb,NA,NA,NA
Grant Nelson,grantnelson,NA,NA,NA
Majestic,majestic,NA,NA,NA
Hermit,hermit,NA,NA,NA
Daniel Ward,danielward,NA,NA,NA
Jumping Jack Frost,jumpingjackfrost,NA,NA,NA
Charlotte Devaney,charlottedevaney,NA,NA,NA
Dennis Ferrer,dennisferrer,NA,NA,NA
Magda,magda,NA,NA,NA
DJ Deeon,djdeeon,NA,NA,NA
Emanuel Satie,emanuelsatie,NA,NA,NA
ABSOLUTE.,absolute,NA,NA,NA
Jay Jay Revlon,jayjayrevlon,NA,NA,NA
Culture Shock,cultureshock,NA,NA,NA
Metrik,metrik,NA,NA,NA
1991,1991,NA,NA,NA
The Upbeats,theupbeats,NA,NA,NA
Majora,majora,NA,NA,NA
Negativ,negativ,NA,NA,NA
Killa P,killap,NA,NA,NA
Fabe,fabe,NA,NA,NA
Lee Burton,leeburton,NA,NA,NA
Haydn,haydn,NA,NA,NA
Herck,herck,NA,NA,NA
Jane Fitz,janefitz,NA,NA,NA
Virgil Abloh,virgilabloh,NA,NA,NA
Benji B,benjib,NA,NA,NA
Jay Daniel,jaydaniel,NA,NA,NA
Skinny Macho,skinnymacho,NA,NA,NA
